Name,SampleName,FileName,Genotype,Type
P1_301,Unknown_BU702-001T0001,Unknown_BU702-001T0001/,AABBDD,WT
P1_319,Unknown_BU702-001T0002,Unknown_BU702-001T0002/,AABBDD,WT
P1_143,Unknown_BU702-001T0003,Unknown_BU702-001T0003/,AABBDD,WT
P1_033,Unknown_BU702-001T0004,Unknown_BU702-001T0004/,aaBBDD,Single
P1_356,Unknown_BU702-001T0005,Unknown_BU702-001T0005/,aaBBDD,Single
P1_290,Unknown_BU702-001T0006,Unknown_BU702-001T0006/,aaBBDD,Single
P2_002,Unknown_BU702-001T0007,Unknown_BU702-001T0007/,AAbbDD,Single
P1_339,Unknown_BU702-001T0008,Unknown_BU702-001T0008/,AAbbDD,Single
P1_136,Unknown_BU702-001T0009,Unknown_BU702-001T0009/,AAbbDD,Single
P1_100,Unknown_BU702-001T0010,Unknown_BU702-001T0010/,AABBdd,Single
P1_178,Unknown_BU702-001T0011,Unknown_BU702-001T0011/,AABBdd,Single
P1_037,Unknown_BU702-001T0012,Unknown_BU702-001T0012/,AABBdd,Single
P2_177,Unknown_BU702-001T0013,Unknown_BU702-001T0013/,aabbDD,Double
P2_150,Unknown_BU702-001T0014,Unknown_BU702-001T0014/,aabbDD,Double
P2_030,Unknown_BU702-001T0015,Unknown_BU702-001T0015/,aabbDD,Double
P1_222,Unknown_BU702-001T0016,Unknown_BU702-001T0016/,aaBBdd,Double
P1_078,Unknown_BU702-001T0017,Unknown_BU702-001T0017/,aaBBdd,Double
P2_124,Unknown_BU702-001T0018,Unknown_BU702-001T0018/,aaBBdd,Double
P1_310,Unknown_BU702-001T0019,Unknown_BU702-001T0019/,AAbbdd,Double
P2_034,Unknown_BU702-001T0020,Unknown_BU702-001T0020/,AAbbdd,Double
P1_040,Unknown_BU702-001T0021,Unknown_BU702-001T0021/,AAbbdd,Double
CWT_23,Unknown_BU702-001T0022,Unknown_BU702-001T0022/,CWT,CWT
CWT_25,Unknown_BU702-001T0023,Unknown_BU702-001T0023/,CWT,CWT
CWT_27,Unknown_BU702-001T0024,Unknown_BU702-001T0024/,CWT,CWT
P2_262,Unknown_BU702-001T0025,Unknown_BU702-001T0025/,Aabbdd,5_out_6
